Notes: Filled in values will be in USD,,,,,,,
Org Id,CTPPT,,,,,,
Cost Type,SHIPPING_COST,,,,,,
Carrier Service ID,Fedex Standard,,,,,,
Dynamic - incremental per pound cost bucket ( Bill Weight FEDEX: 70+),TRUE,,,,,,
Bill Weight FEDEX/Zones FEDEX,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7
0-10,11.98,13.31,14.6,15.85,16.49,17.38,18.42
10-20,19.81,21.38,22.29,25.34,29.22,35.19,38.83
20-30,23.71,27.68,29.58,35.42,43.57,52.56,59.96
30-40,28.46,35,39.15,46.38,57.32,67.74,79.7
40-50,32.58,40.51,47.15,57.02,71.27,86.18,94.81
50-60,33.85,42.32,50.18,61.45,76.47,92.2,104.52
60-70,38.35,48.85,54.18,67.67,81.54,95.05,113.22
70+,0.65,0.83,0.96,1.19,1.39,1.58,1.88
